CiexKey,IdCiex,Ciex,DescCiex,Categoria,Grupo,Capitulo
1,A000,"Colera debido a Vibrio Cholerae O1, Biotipo Cholerae","A000 - Colera debido a Vibrio Cholerae O1, Biotipo Cholerae",A00 - COLERA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
2,A001,"Colera debido a Vibrio Cholerae O1, Biotipo el Tor","A001 - Colera debido a Vibrio Cholerae O1, Biotipo el Tor",A00 - COLERA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
3,A009,Colera,A009 - Colera,A00 - COLERA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
4,A0090,Sospechoso de Colera,A0090 - Sospechoso de Colera,A00 - COLERA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
5,A0091,Sospechoso de Colera no Especificado sin deshidratacion,A0091 - Sospechoso de Colera no Especificado sin deshidratacion,A00 - COLERA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
6,A0092,Sospechosos de Colera no Especificado con deshidratacion,A0092 - Sospechosos de Colera no Especificado con deshidratacion,A00 - COLERA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
7,A0093,Sospechosos de Colera no Especificado con deshidratacion con Shock,A0093 - Sospechosos de Colera no Especificado con deshidratacion con Shock,A00 - COLERA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
8,A010,Fiebre Tifoidea,A010 - Fiebre Tifoidea,A01 - FIEBRES TIFOIDEA Y PARATIFOIDEA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
9,A0109,Fiebre Tifoidea con diarrea,A0109 - Fiebre Tifoidea con diarrea,A01 - FIEBRES TIFOIDEA Y PARATIFOIDEA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
10,A011,Fiebre Paratifoidea A,A011 - Fiebre Paratifoidea A,A01 - FIEBRES TIFOIDEA Y PARATIFOIDEA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
11,A012,Fiebre Paratifoidea B,A012 - Fiebre Paratifoidea B,A01 - FIEBRES TIFOIDEA Y PARATIFOIDEA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
12,A013,Fiebre Paratifoidea C,A013 - Fiebre Paratifoidea C,A01 - FIEBRES TIFOIDEA Y PARATIFOIDEA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
13,A014,"Fiebre Paratifoidea, no Especificada","A014 - Fiebre Paratifoidea, no Especificada",A01 - FIEBRES TIFOIDEA Y PARATIFOIDEA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
14,A0141,Fiebre Paratifoidea no Especificada con diarrea,A0141 - Fiebre Paratifoidea no Especificada con diarrea,A01 - FIEBRES TIFOIDEA Y PARATIFOIDEA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
15,A020,Enteritis debida a Salmonella,A020 - Enteritis debida a Salmonella,A02 - OTRAS INFECCIONES DEBIDAS A SALMONELLA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
16,A021,Septicemia debida a Salmonella,A021 - Septicemia debida a Salmonella,A02 - OTRAS INFECCIONES DEBIDAS A SALMONELLA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
17,A022,Infecciones Localizadas debidas a Salmonella,A022 - Infecciones Localizadas debidas a Salmonella,A02 - OTRAS INFECCIONES DEBIDAS A SALMONELLA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
18,A028,Otras Infecciones Especificadas como debidas a Salmonella,A028 - Otras Infecciones Especificadas como debidas a Salmonella,A02 - OTRAS INFECCIONES DEBIDAS A SALMONELLA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
19,A029,"Infeccion debida a Salmonela, no Especificada","A029 - Infeccion debida a Salmonela, no Especificada",A02 - OTRAS INFECCIONES DEBIDAS A SALMONELLA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
20,A030,Shigelosis debida a Shigella Dysenteriae,A030 - Shigelosis debida a Shigella Dysenteriae,A03 - SHIGELOSIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
21,A031,Shigelosis debida a Shigella Flexneri,A031 - Shigelosis debida a Shigella Flexneri,A03 - SHIGELOSIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
22,A032,Shigelosis debida a Shigella Boydii,A032 - Shigelosis debida a Shigella Boydii,A03 - SHIGELOSIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
23,A033,Shigelosis debida a Shigella Sonnei,A033 - Shigelosis debida a Shigella Sonnei,A03 - SHIGELOSIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
24,A038,Otras Shigelosis,A038 - Otras Shigelosis,A03 - SHIGELOSIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
25,A039,Shiguellosis sin Especificacion,A039 - Shiguellosis sin Especificacion,A03 - SHIGELOSIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
