Molde,Catalizador,Respuesta
Molde A1,Catalizador B1,93
Molde A1,Catalizador B1,92
Molde A1,Catalizador B1,93
Molde A1,Catalizador B1,92
Molde A1,Catalizador B1,91
Molde A1,Catalizador B1,90
Molde A1,Catalizador B1,90
Molde A1,Catalizador B1,90
Molde A1,Catalizador B1,91
Molde A1,Catalizador B1,91
Molde A2,Catalizador B1,88
Molde A2,Catalizador B1,88
Molde A2,Catalizador B1,87
Molde A2,Catalizador B1,88
Molde A2,Catalizador B1,87
Molde A2,Catalizador B1,88
Molde A2,Catalizador B1,87
Molde A2,Catalizador B1,87
Molde A2,Catalizador B1,87
Molde A2,Catalizador B1,87
Molde A1,Catalizador B2,92
Molde A1,Catalizador B2,90
Molde A1,Catalizador B2,92
Molde A1,Catalizador B2,94
Molde A1,Catalizador B2,91
Molde A1,Catalizador B2,91
Molde A1,Catalizador B2,90
Molde A1,Catalizador B2,92
Molde A1,Catalizador B2,91
Molde A1,Catalizador B2,92
Molde A2,Catalizador B2,90
Molde A2,Catalizador B2,89
Molde A2,Catalizador B2,88
Molde A2,Catalizador B2,88
Molde A2,Catalizador B2,90
Molde A2,Catalizador B2,89
Molde A2,Catalizador B2,88
Molde A2,Catalizador B2,89
Molde A2,Catalizador B2,88
Molde A2,Catalizador B2,88
Molde A1,Catalizador B3,95
Molde A1,Catalizador B3,94
Molde A1,Catalizador B3,94
Molde A1,Catalizador B3,94
Molde A1,Catalizador B3,97
Molde A1,Catalizador B3,96
Molde A1,Catalizador B3,94
Molde A1,Catalizador B3,95
Molde A1,Catalizador B3,94
Molde A1,Catalizador B3,96
Molde A2,Catalizador B3,91
Molde A2,Catalizador B3,97
Molde A2,Catalizador B3,91
Molde A2,Catalizador B3,90
Molde A2,Catalizador B3,89
Molde A2,Catalizador B3,91
Molde A2,Catalizador B3,92
Molde A2,Catalizador B3,90
Molde A2,Catalizador B3,90
Molde A2,Catalizador B3,91
